day,window,available_rtt_teams,definition,active_machines,rtt_utilization
16,2,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0
17,1,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0
17,2,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0
18,1,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0
18,2,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0
19,1,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9
19,2,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0
20,1,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0
20,2,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9
21,1,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0
21,2,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9
22,1,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0
22,2,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0
23,1,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0
23,2,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0
24,1,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9
24,2,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0
25,1,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9
25,2,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8
26,1,10,one_treatment_delivery_team_per_active_machine_window,6.0,0.6
26,2,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9
27,1,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9
27,2,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9
28,1,10,one_treatment_delivery_team_per_active_machine_window,7.0,0.7
28,2,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8
29,1,10,one_treatment_delivery_team_per_active_machine_window,7.0,0.7
29,2,10,one_treatment_delivery_team_per_active_machine_window,7.0,0.7
30,1,10,one_treatment_delivery_team_per_active_machine_window,7.0,0.7
30,2,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8
31,1,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9
31,2,10,one_treatment_delivery_team_per_active_machine_window,6.0,0.6
32,1,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9
32,2,10,one_treatment_delivery_team_per_active_machine_window,6.0,0.6
33,1,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8
33,2,10,one_treatment_delivery_team_per_active_machine_window,7.0,0.7
34,1,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9
34,2,10,one_treatment_delivery_team_per_active_machine_window,6.0,0.6
35,1,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8
35,2,10,one_treatment_delivery_team_per_active_machine_window,6.0,0.6
36,1,10,one_treatment_delivery_team_per_active_machine_window,6.0,0.6
36,2,10,one_treatment_delivery_team_per_active_machine_window,6.0,0.6
37,1,10,one_treatment_delivery_team_per_active_machine_window,5.0,0.5
37,2,10,one_treatment_delivery_team_per_active_machine_window,4.0,0.4
38,1,10,one_treatment_delivery_team_per_active_machine_window,5.0,0.5
38,2,10,one_treatment_delivery_team_per_active_machine_window,4.0,0.4
39,1,10,one_treatment_delivery_team_per_active_machine_window,4.0,0.4
39,2,10,one_treatment_delivery_team_per_active_machine_window,5.0,0.5
40,1,10,one_treatment_delivery_team_per_active_machine_window,4.0,0.4
40,2,10,one_treatment_delivery_team_per_active_machine_window,5.0,0.5
41,1,10,one_treatment_delivery_team_per_active_machine_window,4.0,0.4
41,2,10,one_treatment_delivery_team_per_active_machine_window,5.0,0.5
42,1,10,one_treatment_delivery_team_per_active_machine_window,4.0,0.4
42,2,10,one_treatment_delivery_team_per_active_machine_window,3.0,0.3
43,1,10,one_treatment_delivery_team_per_active_machine_window,5.0,0.5
43,2,10,one_treatment_delivery_team_per_active_machine_window,2.0,0.2
44,1,10,one_treatment_delivery_team_per_active_machine_window,4.0,0.4
44,2,10,one_treatment_delivery_team_per_active_machine_window,3.0,0.3
45,1,10,one_treatment_delivery_team_per_active_machine_window,4.0,0.4
45,2,10,one_treatment_delivery_team_per_active_machine_window,1.0,0.1
46,1,10,one_treatment_delivery_team_per_active_machine_window,4.0,0.4
46,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
47,1,10,one_treatment_delivery_team_per_active_machine_window,2.0,0.2
47,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
48,1,10,one_treatment_delivery_team_per_active_machine_window,2.0,0.2
48,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
49,1,10,one_treatment_delivery_team_per_active_machine_window,2.0,0.2
49,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
50,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
50,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
51,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
51,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
52,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
52,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
53,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
53,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
54,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
54,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
55,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
55,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
56,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
56,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
57,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
57,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
58,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
58,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
59,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
59,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
60,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
60,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
61,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
61,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
62,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
62,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
63,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
63,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
64,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
64,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
65,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
65,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
66,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
66,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
67,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
67,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
68,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
68,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
69,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
69,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
70,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
70,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
71,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
71,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
72,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
72,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
73,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
73,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
74,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
74,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
75,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
75,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
76,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
76,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
77,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
77,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
78,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
78,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
79,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
79,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
80,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
80,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
81,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
81,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
82,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
82,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
83,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
83,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
84,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
84,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
85,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
85,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
86,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
86,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0
