day,window,available_rtt_teams,definition,active_machines,rtt_utilization,available_rtt_teams_before_disruption,rtt_shortage_level
1,1,9,one_treatment_delivery_team_per_active_machine_window,7.0,0.7777777777777778,9,0.5
1,2,10,one_treatment_delivery_team_per_active_machine_window,3.0,0.3,10,0.5
1,3,10,one_treatment_delivery_team_per_active_machine_window,7.0,0.7,10,0.5
1,4,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8,10,0.5
2,1,9,one_treatment_delivery_team_per_active_machine_window,8.0,0.8888888888888888,9,0.5
2,2,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9,10,0.5
2,3,10,one_treatment_delivery_team_per_active_machine_window,3.0,0.3,10,0.5
2,4,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9,10,0.5
3,1,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8,10,0.5
3,2,10,one_treatment_delivery_team_per_active_machine_window,6.0,0.6,10,0.5
3,3,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8,10,0.5
3,4,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9,10,0.5
4,1,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9,10,0.5
4,2,10,one_treatment_delivery_team_per_active_machine_window,7.0,0.7,10,0.5
4,3,10,one_treatment_delivery_team_per_active_machine_window,7.0,0.7,10,0.5
4,4,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9,10,0.5
5,1,10,one_treatment_delivery_team_per_active_machine_window,7.0,0.7,10,0.5
5,2,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8,10,0.5
5,3,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8,10,0.5
5,4,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8,10,0.5
6,1,10,one_treatment_delivery_team_per_active_machine_window,7.0,0.7,10,0.5
6,2,5,one_treatment_delivery_team_per_active_machine_window,10.0,1.0,10,0.5
6,3,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9,10,0.5
6,4,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9,10,0.5
7,1,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8,10,0.5
7,2,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9,10,0.5
7,3,10,one_treatment_delivery_team_per_active_machine_window,6.0,0.6,10,0.5
7,4,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0,10,0.5
8,1,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0,10,0.5
8,2,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8,10,0.5
8,3,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9,10,0.5
8,4,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9,10,0.5
9,1,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8,10,0.5
9,2,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8,10,0.5
9,3,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0,10,0.5
9,4,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0,10,0.5
10,1,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0,10,0.5
10,2,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8,10,0.5
10,3,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8,10,0.5
10,4,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9,10,0.5
11,1,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8,10,0.5
11,2,10,one_treatment_delivery_team_per_active_machine_window,7.0,0.7,10,0.5
11,3,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8,10,0.5
11,4,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0,10,0.5
12,1,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9,10,0.5
12,2,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8,10,0.5
12,3,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9,10,0.5
12,4,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0,10,0.5
13,1,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9,10,0.5
13,2,10,one_treatment_delivery_team_per_active_machine_window,7.0,0.7,10,0.5
13,3,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0,10,0.5
13,4,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0,10,0.5
14,1,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9,10,0.5
14,2,10,one_treatment_delivery_team_per_active_machine_window,7.0,0.7,10,0.5
14,3,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8,10,0.5
14,4,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0,10,0.5
15,1,10,one_treatment_delivery_team_per_active_machine_window,7.0,0.7,10,0.5
15,2,10,one_treatment_delivery_team_per_active_machine_window,7.0,0.7,10,0.5
15,3,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9,10,0.5
15,4,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0,10,0.5
16,1,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8,10,0.5
16,2,10,one_treatment_delivery_team_per_active_machine_window,5.0,0.5,10,0.5
16,3,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0,10,0.5
16,4,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9,10,0.5
17,1,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9,10,0.5
17,2,10,one_treatment_delivery_team_per_active_machine_window,7.0,0.7,10,0.5
17,3,10,one_treatment_delivery_team_per_active_machine_window,6.0,0.6,10,0.5
17,4,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9,10,0.5
18,1,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8,10,0.5
18,2,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8,10,0.5
18,3,10,one_treatment_delivery_team_per_active_machine_window,7.0,0.7,10,0.5
18,4,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9,10,0.5
19,1,10,one_treatment_delivery_team_per_active_machine_window,6.0,0.6,10,0.5
19,2,10,one_treatment_delivery_team_per_active_machine_window,6.0,0.6,10,0.5
19,3,10,one_treatment_delivery_team_per_active_machine_window,7.0,0.7,10,0.5
19,4,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0,10,0.5
20,1,10,one_treatment_delivery_team_per_active_machine_window,4.0,0.4,10,0.5
20,2,10,one_treatment_delivery_team_per_active_machine_window,6.0,0.6,10,0.5
20,3,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8,10,0.5
20,4,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0,10,0.5
21,1,10,one_treatment_delivery_team_per_active_machine_window,7.0,0.7,10,0.5
21,2,10,one_treatment_delivery_team_per_active_machine_window,6.0,0.6,10,0.5
21,3,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8,10,0.5
21,4,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9,10,0.5
22,1,10,one_treatment_delivery_team_per_active_machine_window,5.0,0.5,10,0.5
22,2,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8,10,0.5
22,3,10,one_treatment_delivery_team_per_active_machine_window,6.0,0.6,10,0.5
22,4,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0,10,0.5
23,1,10,one_treatment_delivery_team_per_active_machine_window,7.0,0.7,10,0.5
23,2,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8,10,0.5
23,3,10,one_treatment_delivery_team_per_active_machine_window,7.0,0.7,10,0.5
23,4,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0,10,0.5
24,1,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8,10,0.5
